    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bucket_cmp, bucket_swaps, bucket_time, heap_cmp, heap_swaps, heap_time
 5661,       7911849,         7906200,           8548,     63556,       31078,        483,           ,             ,            ,   124097,      65798,       509
 5662,       7917156,         7911506,           8570,     63560,       31112,        471,           ,             ,            ,   124126,      65753,       501
 5663,       7920411,         7914760,           8749,     63533,       31111,        487,           ,             ,            ,   124116,      65768,       514
 5664,       7922408,         7916756,           8626,     63557,       31122,        495,           ,             ,            ,   124197,      65841,       516
 5665,       7925061,         7919408,           8624,     63589,       31142,        501,           ,             ,            ,   124107,      65763,       513
 5666,       7928755,         7923101,          12144,     63589,       31167,        496,           ,             ,            ,   124239,      65886,      6343
 5667,       7932267,         7926612,           9956,     63588,       31212,        507,           ,             ,            ,   124181,      65822,       512
 5668,       7932509,         7926853,           8616,     63632,       31202,        480,           ,             ,            ,   124300,      65885,       508
 5669,       7937344,         7931687,           8636,     63654,       31238,        511,           ,             ,            ,   124292,      65840,       514
 5670,       7940873,         7935215,           8733,     63691,       31269,        498,           ,             ,            ,   124272,      65847,       524
 5671,       7943974,         7938315,           8824,     63725,       31255,        511,           ,             ,            ,   124371,      65906,       534
 5672,       7947993,         7942333,           8783,     63744,       31296,        474,           ,             ,            ,   124383,      65889,       514
 5673,       7952951,         7947290,           8734,     63658,       31179,        486,           ,             ,            ,   124308,      65804,       523
 5674,       7955640,         7949978,           8845,     63721,       31285,        464,           ,             ,            ,   124483,      65937,       519
 5675,       7961135,         7955472,           8785,     63711,       31214,        543,           ,             ,            ,   124443,      65960,       505
 5676,       7963723,         7958059,           8660,     63725,       31189,        469,           ,             ,            ,   124488,      65966,       551
 5677,       7963889,         7958224,           8675,     63718,       31182,        510,           ,             ,            ,   124531,      65995,       538
 5678,       7966778,         7961112,           8730,     63724,       31161,        472,           ,             ,            ,   124571,      66024,       511
 5679,       7971521,         7965854,           8784,     63756,       31272,        505,           ,             ,            ,   124561,      66021,       526
 5680,       7974964,         7969296,           8773,     63768,       31306,        449,           ,             ,            ,   124515,      66006,       529
 5681,       7978693,         7973024,           8931,     63796,       31221,        946,           ,             ,            ,   124520,      65945,       529
 5682,       7982771,         7977101,           8747,     63784,       31244,        484,           ,             ,            ,   124622,      66003,       512
 5683,       7987497,         7981826,           8662,     63828,       31328,        496,           ,             ,            ,   124673,      66110,       521
 5684,       7992666,         7986994,           8760,     63808,       31304,        493,           ,             ,            ,   124651,      66046,       514
 5685,       7994832,         7989159,           8721,     63777,       31348,        487,           ,             ,            ,   124659,      66013,       511
 5686,       7999610,         7993936,           8891,     63786,       31363,        496,           ,             ,            ,   124685,      66045,       519
 5687,       8000492,         7994817,           8737,     63757,       31340,        470,           ,             ,            ,   124750,      66096,       509
 5688,       8002714,         7997038,           8665,     63768,       31335,        449,           ,             ,            ,   124744,      66109,       504
 5689,       8007278,         8001601,           8686,     63915,       31346,        513,           ,             ,            ,   124823,      66130,       517
 5690,       8007572,         8001894,           8676,     63927,       31313,        507,           ,             ,            ,   124799,      66108,       513
 5691,       8010204,         8004525,           8686,     63869,       31360,        498,           ,             ,            ,   124815,      66073,       506
 5692,       8015061,         8009381,           8700,     63889,       31388,        491,           ,             ,            ,   124867,      66125,       520
 5693,       8019514,         8013833,           8726,     63933,       31374,        472,           ,             ,            ,   124854,      66150,       524
 5694,       8022976,         8017294,           8712,     63980,       31393,        454,           ,             ,            ,   124935,      66160,       510
 5695,       8027836,         8022153,           8722,     64033,       31380,        513,           ,             ,            ,   124952,      66216,       516
 5696,       8030022,         8024338,           8883,     64051,       31385,        493,           ,             ,            ,   124950,      66200,       551
 5697,       8034438,         8028753,           8943,     63929,       31380,        473,           ,             ,            ,   125025,      66246,       521
 5698,       8039384,         8033698,           8846,     63933,       31352,        482,           ,             ,            ,   124973,      66258,       507
 5699,       8041797,         8036110,           8729,     63989,       31445,        460,           ,             ,            ,   125131,      66295,       512
 5700,       8045233,         8039545,           8695,     63966,       31409,        504,           ,             ,            ,   125110,      66288,       520
 5701,       8047875,         8042186,           8723,     64035,       31485,        471,           ,             ,            ,   125111,      66288,       515
 5702,       8051338,         8045648,           8851,     64051,       31453,        468,           ,             ,            ,   125184,      66319,       522
 5703,       8053368,         8047677,           8807,     63983,       31493,       1342,           ,             ,            ,   125098,      66245,       528
 5704,       8058261,         8052569,           8725,     64009,       31481,        582,           ,             ,            ,   125196,      66305,       521
 5705,       8058746,         8053053,           8985,     64066,       31399,       1994,           ,             ,            ,   125187,      66343,       540
 5706,       8059251,         8053557,           8776,     64150,       31387,        565,           ,             ,            ,   125216,      66356,       532
 5707,       8059387,         8053692,           8935,     64187,       31362,        607,           ,             ,            ,   125248,      66355,       520
 5708,       8059916,         8054220,           8832,     64177,       31382,        577,           ,             ,            ,   125249,      66404,       514
 5709,       8064405,         8058708,           8967,     64105,       31449,        547,           ,             ,            ,   125250,      66345,       507
 5710,       8064889,         8059191,           8916,     64132,       31430,        585,           ,             ,            ,   125254,      66346,       530
 5711,       8069085,         8063386,           8975,     64153,       31403,        608,           ,             ,            ,   125333,      66390,       544
 5712,       8074605,         8068905,           8964,     64195,       31397,        558,           ,             ,            ,   125335,      66415,       514
 5713,       8076500,         8070799,           8927,     64142,       31384,        598,           ,             ,            ,   125337,      66419,       523
 5714,       8079487,         8073785,           9157,     64153,       31444,        570,           ,             ,            ,   125418,      66453,       521
 5715,       8084995,         8079292,           8865,     64233,       31409,        580,           ,             ,            ,   125450,      66476,       509
 5716,       8088492,         8082788,           8950,     64208,       31444,        612,           ,             ,            ,   125381,      66386,       550
 5717,       8090710,         8085005,           9006,     64185,       31396,        563,           ,             ,            ,   125440,      66468,       511
 5718,       8092081,         8086375,           9218,     64249,       31346,        698,           ,             ,            ,   125476,      66435,       509
 5719,       8094272,         8088565,           8943,     64277,       31381,        574,           ,             ,            ,   125533,      66489,       500
