     n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bucket_cmp, bucket_swaps, bucket_time, heap_cmp, heap_swaps, heap_time
  3021,       2290633,         2287622,           2488,     31160,       15324,        227,           ,             ,            ,    60766,      32392,       254
  3022,       2292742,         2289730,           2617,     31162,       15325,        245,           ,             ,            ,    60793,      32410,       247
  3023,       2293441,         2290428,           2621,     31205,       15295,        213,           ,             ,            ,    60832,      32420,       266
  3024,       2294292,         2291278,           2510,     31208,       15305,        228,           ,             ,            ,    60799,      32407,       272
  3025,       2296750,         2293735,           2581,     31241,       15380,        245,           ,             ,            ,    60833,      32427,       259
  3026,       2297536,         2294520,           2492,     31234,       15341,        221,           ,             ,            ,    60813,      32384,       253
  3027,       2297573,         2294556,           2517,     31247,       15372,        248,           ,             ,            ,    60838,      32404,       257
  3028,       2297883,         2294865,           2602,     31290,       15402,        225,           ,             ,            ,    60888,      32455,       252
  3029,       2299863,         2296844,           2498,     31313,       15397,        221,           ,             ,            ,    60937,      32470,       254
  3030,       2300425,         2297405,           2522,     31292,       15405,        261,           ,             ,            ,    60927,      32455,       254
  3031,       2302776,         2299755,           2538,     31331,       15379,        240,           ,             ,            ,    60951,      32488,       260
  3032,       2304934,         2301912,           2529,     31347,       15381,        223,           ,             ,            ,    60999,      32539,       257
  3033,       2306334,         2303311,           2587,     31276,       15399,        287,           ,             ,            ,    61005,      32518,       261
  3034,       2308087,         2305063,           2543,     31311,       15461,        230,           ,             ,            ,    61005,      32482,       263
  3035,       2310481,         2307456,           2531,     31399,       15465,        224,           ,             ,            ,    61085,      32555,       255
  3036,       2312976,         2309950,           2750,     31385,       15451,        214,           ,             ,            ,    61056,      32497,       252
  3037,       2314417,         2311390,           2530,     31328,       15462,        236,           ,             ,            ,    61151,      32620,       273
  3038,       2316393,         2313365,           2580,     31358,       15477,        250,           ,             ,            ,    61141,      32589,       284
